distribution,x_axis_value,mu,case,entity_id
Uniform,17,0.9465,Average,32985348833548
Uniform,18,0.9440000000000002,Worst,32985348833548
Uniform,18,0.9584999999999999,Average,32985348833548
Uniform,19,0.9495000000000001,Worst,32985348833548
Uniform,19,0.9530000000000001,Average,32985348833548
Uniform,20,0.952,Worst,32985348833548
Uniform,20,0.9475000000000001,Average,32985348833548
Uniform,21,0.95,Worst,32985348833548
Uniform,21,0.9560000000000001,Average,32985348833548
Uniform,22,0.9494999999999999,Worst,32985348833548
Uniform,22,0.9560000000000001,Average,32985348833548
Uniform,23,0.9574999999999999,Worst,32985348833548
Uniform,23,0.9570000000000001,Average,32985348833548
Uniform,24,0.9525,Worst,32985348833548
Uniform,24,0.9564999999999999,Average,32985348833548
Uniform,25,0.9564999999999999,Worst,32985348833548
Uniform,25,0.96,Average,32985348833548
Uniform,26,0.9625,Worst,32985348833548
Uniform,26,0.9600000000000002,Average,32985348833548
Uniform,27,0.9549999999999998,Worst,32985348833548
Uniform,27,0.9625,Average,32985348833548
Uniform,28,0.9685,Worst,32985348833548
Uniform,28,0.967,Average,32985348833548
Uniform,29,0.962,Worst,32985348833548
Uniform,29,0.9645000000000001,Average,32985348833548
Uniform,30,0.9625,Worst,32985348833548
Uniform,30,0.966,Average,32985348833548
Uniform,1,0.35300000000000004,Worst,4398046511257
Uniform,1,0.354,Average,4398046511257
